[TOUCHLOG] t=15124ms line line_after=low raw=[16, 0e, 0f, 92, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=15153ms line line_after=low raw=[16, 17, 0d, 1b, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=15227ms line line_after=high raw=[10, 1b, 0b, a6, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=15279ms poll line_after=high raw=[ab, 1b, 0b, a6, 80, 01, ab, 80, 00, 00, 3c, 0c, ab, 80, 00] parsed=Points([])
[TOUCHLOG] t=18078ms line line_after=low raw=[06, 04, 0c, 2c, 00, 01, ab, 00, 00, 00, 3c, 0c, ab, 80, 00] parsed=Points([TouchPoint { x: 399, y: 261 }])
[TOUCHLOG] t=18106ms line line_after=low raw=[06, 06, 0f, 05, 80, 02, ab, 16, 15, 0d, da, 02, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=18179ms line line_after=low raw=[16, 0f, 0e, 46, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18229ms line line_after=low raw=[16, 0f, 0e, 26, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18268ms line line_after=low raw=[16, 0e, 0e, f7, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18300ms line line_after=high raw=[16, 0e, 0e, e7, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18329ms line line_after=low raw=[16, 0e, 0e, e7, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18351ms line line_after=high raw=[16, 0e, 0e, e7, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18378ms line line_after=low raw=[16, 0e, 0e, d7, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=18401ms line line_after=high raw=[16, 0e, 0e, d7, 80, 01, ab, 80, 00, 00, 3c, 0a, ab, 80, 00] parsed=CoverGesture
